,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
394,PHONE_NUMBER,12,"ORG:Trade, ORG:Thompson, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ESQUIRE\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=47\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",9171,ESQUIRE\n\nElectronically,1480753
395,PHONE_NUMBER,12,"ORG:Trade, ORG:Thompson, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ESQUIRE\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=47\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",9171,ESQUIRE\n\nElectronically,358 6486
396,PHONE_NUMBER,12,"ORG:Trade, ORG:Thompson, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ESQUIRE\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=47\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",9171,ESQUIRE\n\nElectronically,1480753
397,INTERNATIONAL_PHONE_NUMBER,12,"ORG:Trade, ORG:Thompson, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ESQUIRE\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=47\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",9171,ESQUIRE\n\nElectronically,001-060-358-6486
398,PERSON,5,"PERSON:MARIA, PERSON:RUIZ, ORG:25\n\nPage, ORG:5541\n\nNancy, ORG:Paulsen","BY:  MARIA RUIZ, ESQUIRE\n\nAlso Present\n\n10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25\n\nPage 5541\n\nNancy Paulsen,",9223,BY,MARIA RUIZ
399,ORG,5,"PERSON:MARIA, PERSON:RUIZ, ORG:25\n\nPage, ORG:5541\n\nNancy, ORG:Paulsen","BY:  MARIA RUIZ, ESQUIRE\n\nAlso Present\n\n10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25\n\nPage 5541\n\nNancy Paulsen,",9223,BY,25\n\nPage 5541\n\nNancy Paulsen
400,PERSON,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,Robert Philipson\n\nElectronically
401,ORG,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,Tracie Thompson
402,PHONE_NUMBER,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,358-6486
403,PHONE_NUMBER,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,1480753
404,PHONE_NUMBER,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,358 6486
405,PHONE_NUMBER,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,1480753
406,INTERNATIONAL_PHONE_NUMBER,4,"PERSON:Robert, PERSON:Philipson\n\nElectronically, ORG:Tracie, ORG:Thompson","defense court reporter Robert Philipson\n\nElectronically signed by Tracie Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=48\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5542\n\nI-N-D-E-X\n\nWITNESS                                                                                               PAGE\n\nDANIEL SIEDMAN, PhD\n\nCont.",9249,Philipson\n\nElectronically,001-060-358-6486
407,PERSON,2,"PERSON:Mr., PERSON:Schlesinger",Direct Examination by Mr. Schlesinger........,9286,Examination,Mr. Schlesinger
408,PERSON,2,"PERSON:Mr., PERSON:Furr",5543\n\nVoir Dire Examination by Mr. Furr..................,9292,Examination,Mr. Furr
409,PERSON,2,"PERSON:Mr., PERSON:Schlesinger",5643\n\nVoir dire Examination by Mr. Schlesinger...........,9299,Examination,Mr. Schlesinger
410,PERSON,2,"PERSON:Mr., PERSON:Schlesinger",Direct Examination by Mr. Schlesinger........,9308,Examination,Mr. Schlesinger
411,ORG,2,"ORG:Trade, ORG:Thompson",~k\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=49\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5543,9328,signed,Trade Thompson
412,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson",~k\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=49\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5543,9328,signed,358-6486
413,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson",~k\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=49\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5543,9328,signed,1480753
414,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson",~k\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=49\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5543,9328,signed,358 6486
415,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson",~k\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=49\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5543,9328,signed,1480753
416,INTERNATIONAL_PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson",~k\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=49\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5543,9328,signed,001-060-358-6486
417,PERSON,1,PERSON:MR,MR.,9401,MR,MR
418,PERSON,1,PERSON:SCHLESINGER,SCHLESINGER:  ,9465,SCHLESINGER,SCHLESINGER
419,PERSON,1,PERSON:MR,DIRECT EXAMINATION BY MR.,9499,EXAMINATION,MR
420,ORG,1,ORG:SCHLESINGER:\n\nQ,SCHLESINGER:\n\nQ    ,9504,SCHLESINGER:\n\nQ,SCHLESINGER:\n\nQ    
421,ORG,2,"ORG:Trade, ORG:Thompson","What I would like to ask you to do for the jury, if you can, the materials that you\'ve reviewed, have they been\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071",9526,like,Trade Thompson
422,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson","What I would like to ask you to do for the jury, if you can, the materials that you\'ve reviewed, have they been\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071",9526,like,358-6486
423,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson","What I would like to ask you to do for the jury, if you can, the materials that you\'ve reviewed, have they been\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071",9526,like,1480753
424,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson","What I would like to ask you to do for the jury, if you can, the materials that you\'ve reviewed, have they been\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071",9526,like,358 6486
425,PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson","What I would like to ask you to do for the jury, if you can, the materials that you\'ve reviewed, have they been\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071",9526,like,1480753
426,INTERNATIONAL_PHONE_NUMBER,2,"ORG:Trade, ORG:Thompson","What I would like to ask you to do for the jury, if you can, the materials that you\'ve reviewed, have they been\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071",9526,like,001-060-358-6486
427,PERSON,5,"PERSON:Mr., PERSON:Shulman, ORG:Mr., ORG:Shulman?\n\nA, ORG:Correct.\n\nQ",Sworn testimony from Mr. Shulman and Shulman family members?\n\nA    Right.\n\nQ    Extensive interviews and depositions of Mr. Shulman?\n\nA    Correct.\n\nQ    ,9595,testimony,Mr. Shulman
428,ORG,5,"PERSON:Mr., PERSON:Shulman, ORG:Mr., ORG:Shulman?\n\nA, ORG:Correct.\n\nQ",Sworn testimony from Mr. Shulman and Shulman family members?\n\nA    Right.\n\nQ    Extensive interviews and depositions of Mr. Shulman?\n\nA    Correct.\n\nQ    ,9595,testimony,Mr. Shulman?\n\nA    Correct.\n\nQ    
429,PERSON,4,"PERSON:Mr., PERSON:Shulman, PERSON:Mr., PERSON:Shulman",Including examination of Mr. Shulman by a fellow that the defense asked to examine Mr. Shulman as well?\n\nA    ,9617,Including,Mr. Shulman
430,PERSON,4,"PERSON:Mr., PERSON:Shulman, PERSON:Mr., PERSON:Shulman",Including examination of Mr. Shulman by a fellow that the defense asked to examine Mr. Shulman as well?\n\nA    ,9617,Including,Mr. Shulman
431,ORG,1,ORG:exam.\n\nQ,"The medical exam, certified medical exam.\n\nQ    ",9639,exam,exam.\n\nQ    
432,PERSON,2,"PERSON:Mr., PERSON:Shulman\","There\'s a lengthy and extensive interview over two days, many hours of data extracting info about Mr. Shulman\'s lifetime of smoking that you used to incorporate into your thinking?\n\nA    ",9647,'s,Mr. Shulman\
433,ORG,1,ORG:materials?\n\nA,Did you thoroughly digest all of those materials?\n\nA    ,9682,digest,materials?\n\nA    
434,PERSON,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,\xef\xbf\xbd
435,ORG,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,Trade Thompson
436,PHONE_NUMBER,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,358-6486
437,PHONE_NUMBER,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,1480753
438,PHONE_NUMBER,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,358 6486
439,PHONE_NUMBER,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,1480753
440,INTERNATIONAL_PHONE_NUMBER,3,"PERSON:\xef\xbf\xbd, ORG:Trade, ORG:Thompson","So what I\'d like you to do is \xef\xbf\xbd in a synthesis, and I\'ll guide you as we go, is can you give the jurors sort of a timeline or an\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=51\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5545 overview of the arc of the trajectory of\n\nMr.",9703,is,001-060-358-6486
441,PERSON,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,didn\'t
442,ORG,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,Trade Thompson
443,PHONE_NUMBER,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,358-6486
444,PHONE_NUMBER,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,1480753
445,PHONE_NUMBER,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,358 6486
446,PHONE_NUMBER,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,1480753
447,INTERNATIONAL_PHONE_NUMBER,3,"PERSON:didn\'t, ORG:Trade, ORG:Thompson","If he didn\'t have money, he would take them out of the street, lit butts or whatever he\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=52\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5546",10007,take,001-060-358-6486
448,ORG,2,"ORG:community\, ORG:'s","Back at that period of time, would that be consistent with the public and the medical community\'s general lack of understanding of the deeply addictive nature of cigarettes?\n\nA    ",10154,be,community\'s
449,ORG,3,"ORG:Trade, ORG:Thompson, PERSON:smoking.\n\nQ","By 27, 99 percent of the\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=53\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5547 people who are going to smoke are already smoking.\n\nQ    ",10265,are,Trade Thompson
450,PERSON,3,"ORG:Trade, ORG:Thompson, PERSON:smoking.\n\nQ","By 27, 99 percent of the\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=53\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5547 people who are going to smoke are already smoking.\n\nQ    ",10265,are,smoking.\n\nQ    
451,PHONE_NUMBER,3,"ORG:Trade, ORG:Thompson, PERSON:smoking.\n\nQ","By 27, 99 percent of the\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=53\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5547 people who are going to smoke are already smoking.\n\nQ    ",10265,are,358-6486
452,PHONE_NUMBER,3,"ORG:Trade, ORG:Thompson, PERSON:smoking.\n\nQ","By 27, 99 percent of the\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=53\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5547 people who are going to smoke are already smoking.\n\nQ    ",10265,are,1480753
453,PHONE_NUMBER,3,"ORG:Trade, ORG:Thompson, PERSON:smoking.\n\nQ","By 27, 99 percent of the\n\nElectronically signed by Trade Thompson (001-060-358-6486)\n\n14807534-d906-42b9-aed6-73e4d8071 Odb\x0c\npgNbr=53\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 5547 people who are going to smoke are already smoking.\n\nQ    ",10265,are,358 6486
