center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
"[1.440e+02 2.000e+00 3.399e+03 3.000e+00 1.580e+02 3.280e+02 1.390e+02
 2.200e+01]",62,145,2,['PHONE_NUMBER'],725,4,"[""So they\\'re going to have some level of dependence\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=17\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5511 typically, or else why would they come?\\n\\nIf""]",[3399],['894 2796']
"[1.440e+02 2.000e+00 3.399e+03 3.000e+00 1.580e+02 3.280e+02 1.390e+02
 2.200e+01]",62,146,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,"[""So they\\'re going to have some level of dependence\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=17\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5511 typically, or else why would they come?\\n\\nIf""]",[3399],['101-102-894-2796']
"[1.470e+02 1.000e+00 3.433e+03 2.000e+00 2.970e+02 5.300e+02 9.700e+01
 3.170e+02]",63,147,0,['PERSON'],725,1,"[""they could do it on their own, they certainly wouldn\\'t be coming to me.  ""]",[3433],"[""wouldn\\'t""]"
"[1.490e+02 2.000e+00 3.629e+03 3.000e+00 1.580e+02 4.080e+02 2.350e+02
 2.200e+01]",64,148,1,['PERSON'],725,4,"['Well, I think one of the things that\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef']",[3629],['Janette Moreno']
"[1.490e+02 2.000e+00 3.629e+03 3.000e+00 1.580e+02 4.080e+02 2.350e+02
 2.200e+01]",64,149,2,['PHONE_NUMBER'],725,4,"['Well, I think one of the things that\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef']",[3629],['894-2796']
"[1.490e+02 2.000e+00 3.629e+03 3.000e+00 1.580e+02 4.080e+02 2.350e+02
 2.200e+01]",64,150,2,['PHONE_NUMBER'],725,4,"['Well, I think one of the things that\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef']",[3629],['894 2796']
"[1.490e+02 2.000e+00 3.629e+03 3.000e+00 1.580e+02 4.080e+02 2.350e+02
 2.200e+01]",64,151,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,"['Well, I think one of the things that\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef']",[3629],['101-102-894-2796']
"[1.520e+02 2.000e+00 3.675e+03 2.000e+00 2.300e+02 5.330e+02 1.230e+02
 1.910e+02]",65,152,0,['PERSON'],725,1,"[""they try \\xef\\xbf\\xbd\\n\\nmost \\xef\\xbf\\xbd in our \\xef\\xbf\\xbd in our society, we expect people\\n\\nto do this on their own.\\n\\nIt\\'s a self-help culture around smoking, and most smokers believe it\\'s their personal responsibility to quit on their own.\\n\\nAnd what happens is when they try to do it, if it doesn\\'t go well""]",[3675],['\\xef\\xbf\\xbd\\n\\nmost \\xef\\xbf\\xbd']
"[1.530e+02 2.000e+00 3.743e+03 1.000e+00 7.000e+01 5.320e+02 1.670e+02
 1.840e+02]",66,153,0,['ORG'],725,1,"[""they lose their confidence, and then they\\'re afraid to try, and there\\'s a lot of \\xef\\xbf\\xbd there\\'s a lot of science about if your efforts and the outcome of your efforts are not aligned, like if you keep trying something and you\\'re not getting the outcome, you\\'ll learn to feel helpless.\\n\\nAnd""]",[3743],['\\xef\\xbf\\xbd there\\']
[1.55e+02 2.00e+00 3.86e+03 3.00e+00 1.58e+02 5.56e+02 2.44e+02 2.20e+01],67,154,1,['PERSON'],725,4,"[""you\\'re trying to build their confidence, you\\'re trying to give them support, and you\\'re trying to challenge some of the beliefs that they\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1""]",[3860],['Janette Moreno']
[1.55e+02 2.00e+00 3.86e+03 3.00e+00 1.58e+02 5.56e+02 2.44e+02 2.20e+01],67,155,2,['PHONE_NUMBER'],725,4,"[""you\\'re trying to build their confidence, you\\'re trying to give them support, and you\\'re trying to challenge some of the beliefs that they\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1""]",[3860],['894-2796']
[1.55e+02 2.00e+00 3.86e+03 3.00e+00 1.58e+02 5.56e+02 2.44e+02 2.20e+01],67,156,2,['PHONE_NUMBER'],725,4,"[""you\\'re trying to build their confidence, you\\'re trying to give them support, and you\\'re trying to challenge some of the beliefs that they\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1""]",[3860],['894 2796']
[1.55e+02 2.00e+00 3.86e+03 3.00e+00 1.58e+02 5.56e+02 2.44e+02 2.20e+01],67,157,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,"[""you\\'re trying to build their confidence, you\\'re trying to give them support, and you\\'re trying to challenge some of the beliefs that they\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1""]",[3860],['101-102-894-2796']
"[1.580e+02 1.000e+00 3.958e+03 2.000e+00 2.190e+02 1.370e+02 1.560e+02
 1.770e+02]",68,158,0,['PERSON'],725,1,"['Everybody believes that addiction has a psychology, that people lose their autonomy when \\xef\\xbf\\xbd this is part of your guestion about impaired control.\\n\\nPeople lose their feeling of will and having self-control, self-government over their own lives.\\n\\nAnd']",[3958],['\\xef\\xbf\\xbd']
"[1.590e+02 2.000e+00 4.032e+03 1.000e+00 1.140e+02 2.850e+02 2.540e+02
 2.940e+02]",69,159,0,['ORG'],725,1,"[""Over the years, 75 percent of smokers wish they\\'d guit.\\n\\nMR.""]",[4032],"[""they\\'d guit.\\n\\nMR""]"
"[1.600e+02 1.000e+00 4.065e+03 2.000e+00 2.000e+02 2.940e+02 4.700e+01
 1.380e+02]",70,160,1,['PERSON'],725,1,['Q.   '],[4065],['Q.   ']
"[1.610e+02 1.000e+00 4.067e+03 2.000e+00 1.680e+02 3.000e+00 1.100e+01
 1.030e+02]",71,161,1,['PERSON'],725,1,['(BY MR. SCHLESINGER)  '],[4067],['MR']
"[1.640e+02 3.000e+00 4.079e+03 3.000e+00 2.280e+02 5.190e+02 2.080e+02
 2.200e+01]",72,163,1,['PERSON'],725,4,['so \\xef\\xbf\\xbd\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=20\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5514'],[4079],['Janette Moreno']
"[1.640e+02 3.000e+00 4.079e+03 3.000e+00 2.280e+02 5.190e+02 2.080e+02
 2.200e+01]",72,164,2,['PHONE_NUMBER'],725,4,['so \\xef\\xbf\\xbd\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=20\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5514'],[4079],['894-2796']
"[1.640e+02 3.000e+00 4.079e+03 3.000e+00 2.280e+02 5.190e+02 2.080e+02
 2.200e+01]",72,165,2,['PHONE_NUMBER'],725,4,['so \\xef\\xbf\\xbd\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=20\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5514'],[4079],['894 2796']
"[1.640e+02 3.000e+00 4.079e+03 3.000e+00 2.280e+02 5.190e+02 2.080e+02
 2.200e+01]",72,166,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,['so \\xef\\xbf\\xbd\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=20\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5514'],[4079],['101-102-894-2796']
"[1.670e+02 1.000e+00 4.147e+03 2.000e+00 2.190e+02 5.420e+02 1.560e+02
 1.770e+02]",73,162,0,['PERSON'],725,2,['so \\xef\\xbf\\xbd\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=20\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5514'],[4079],['\\xef\\xbf\\xbd\\n\\nElectronically']
"[1.670e+02 1.000e+00 4.147e+03 2.000e+00 2.190e+02 5.420e+02 1.560e+02
 1.770e+02]",73,167,0,['PERSON'],725,2,"[""what you want, you know, your actions, and that it\\'s not compromised, that you\\'re not controlled by something outside yourself, which is part of the problem with addiction is that people feel controlled by \\xef\\xbf\\xbd by the drug, by the product, the cigarette, and they feel that their own ability to \\xef\\xbf\\xbd to make a choice is compromised.\\n\\nQ.  ""]",[4147],['\\xef\\xbf\\xbd']
"[1.680e+02 2.000e+00 4.266e+03 2.000e+00 1.960e+02 1.630e+02 1.250e+02
 1.250e+02]",74,168,1,['PERSON'],725,1,"[""How do you explain that?\\n\\nA.  There\\'s a quote that I like from Nora Volkow.  ""]",[4266],['Nora Volkow']
"[1.690e+02 3.000e+00 4.303e+03 2.000e+00 1.610e+02 3.450e+02 2.080e+02
 8.900e+01]",75,169,1,['PERSON'],725,2,['Sustained.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=21\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5515 Q.  (BY MR.'],[4303],['Janette Moreno']
"[1.690e+02 3.000e+00 4.303e+03 2.000e+00 1.610e+02 3.450e+02 2.080e+02
 8.900e+01]",75,170,2,['PERSON'],725,2,['Sustained.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=21\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5515 Q.  (BY MR.'],[4303],['MR']
"[1.720e+02 3.000e+00 4.303e+03 3.000e+00 1.610e+02 3.450e+02 2.080e+02
 2.100e+01]",76,171,1,['PHONE_NUMBER'],725,3,['Sustained.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=21\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5515 Q.  (BY MR.'],[4303],['894-2796']
"[1.720e+02 3.000e+00 4.303e+03 3.000e+00 1.610e+02 3.450e+02 2.080e+02
 2.100e+01]",76,172,1,['PHONE_NUMBER'],725,3,['Sustained.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=21\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5515 Q.  (BY MR.'],[4303],['894 2796']
"[1.720e+02 3.000e+00 4.303e+03 3.000e+00 1.610e+02 3.450e+02 2.080e+02
 2.100e+01]",76,173,2,['INTERNATIONAL_PHONE_NUMBER'],725,3,['Sustained.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=21\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5515 Q.  (BY MR.'],[4303],['101-102-894-2796']
"[1.740e+02 1.000e+00 4.342e+03 2.000e+00 1.680e+02 3.440e+02 5.600e+01
 1.030e+02]",77,174,1,['PERSON'],725,1,"[""Sustained, and I\\'ll strike the last answer.\\n\\nQ.  (BY MR.""]",[4342],['MR']
"[1.750e+02 1.000e+00 4.384e+03 2.000e+00 2.580e+02 2.990e+02 9.800e+01
 2.390e+02]",78,175,0,['PERSON'],725,1,"[""Right.\\n\\nI would compare it to driving a car that doesn\\'t have brakes, that you feel out of control, and that each time you take a cigarette, it\\'s like putting fuel into that car.\\n\\nWhen you\\'re really addicted, when you\\'re seriously addicted, you\\'re""]",[4384],"[""doesn\\'t""]"
"[1.760e+02 2.000e+00 4.474e+03 1.000e+00 9.000e+00 4.160e+02 1.970e+02
 4.500e+01]",79,176,1,['ORG'],725,1,"['Well, when I got my first job at Columbia, they said:  ']",[4474],"['Columbia,']"
"[1.780e+02 2.000e+00 4.489e+03 3.000e+00 1.580e+02 3.990e+02 2.480e+02
 2.200e+01]",80,177,1,['PERSON'],725,4,"['We want you to do this, run this smoking cessation program, and they said:\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1']",[4489],['Janette Moreno']
"[1.780e+02 2.000e+00 4.489e+03 3.000e+00 1.580e+02 3.990e+02 2.480e+02
 2.200e+01]",80,178,2,['PHONE_NUMBER'],725,4,"['We want you to do this, run this smoking cessation program, and they said:\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1']",[4489],['894-2796']
"[1.780e+02 2.000e+00 4.489e+03 3.000e+00 1.580e+02 3.990e+02 2.480e+02
 2.200e+01]",80,179,2,['PHONE_NUMBER'],725,4,"['We want you to do this, run this smoking cessation program, and they said:\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1']",[4489],['894 2796']
"[1.780e+02 2.000e+00 4.489e+03 3.000e+00 1.580e+02 3.990e+02 2.480e+02
 2.200e+01]",80,180,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,"['We want you to do this, run this smoking cessation program, and they said:\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1']",[4489],['101-102-894-2796']
"[1.810e+02 2.000e+00 4.556e+03 1.000e+00 1.080e+02 3.240e+02 1.400e+02
 2.870e+02]",81,181,0,['ORG'],725,1,"[""So that\\'s\\n\\nhow I got into it.\\n\\nQ.  ""]",[4556],"[""that\\'s\\n\\nhow I""]"
"[1.820e+02 1.000e+00 4.644e+03 1.000e+00 6.700e+01 4.030e+02 6.400e+01
 1.770e+02]",82,182,0,['ORG'],725,1,"[""We\\'ve had \\xef\\xbf\\xbd""]",[4644],['\\xef\\xbf\\xbd']
"[1.830e+02 2.000e+00 4.647e+03 1.000e+00 6.100e+01 5.380e+02 1.420e+02
 1.660e+02]",83,183,1,['ORG'],725,1,"[""we\\'ve had storefronts in Washington Heights.""]",[4647],['Washington Heights']
"[1.850e+02 2.000e+00 4.665e+03 3.000e+00 1.580e+02 1.770e+02 1.400e+02
 2.200e+01]",84,184,1,['PERSON'],725,4,['I got interested in about the year 2000 in trying to see if we could use the Internet as a tool to help smokers.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=23\\n10\\n\\n11\\n\\n12 13 14 15 16 17 18 19 20 21'],[4665],['Janette Moreno']
"[1.850e+02 2.000e+00 4.665e+03 3.000e+00 1.580e+02 1.770e+02 1.400e+02
 2.200e+01]",84,185,2,['PHONE_NUMBER'],725,4,['I got interested in about the year 2000 in trying to see if we could use the Internet as a tool to help smokers.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=23\\n10\\n\\n11\\n\\n12 13 14 15 16 17 18 19 20 21'],[4665],['894-2796']
"[1.850e+02 2.000e+00 4.665e+03 3.000e+00 1.580e+02 1.770e+02 1.400e+02
 2.200e+01]",84,186,2,['PHONE_NUMBER'],725,4,['I got interested in about the year 2000 in trying to see if we could use the Internet as a tool to help smokers.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=23\\n10\\n\\n11\\n\\n12 13 14 15 16 17 18 19 20 21'],[4665],['894 2796']
"[1.850e+02 2.000e+00 4.665e+03 3.000e+00 1.580e+02 1.770e+02 1.400e+02
 2.200e+01]",84,187,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,['I got interested in about the year 2000 in trying to see if we could use the Internet as a tool to help smokers.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=23\\n10\\n\\n11\\n\\n12 13 14 15 16 17 18 19 20 21'],[4665],['101-102-894-2796']
"[1.880e+02 5.000e+00 4.719e+03 1.000e+00 1.100e+01 5.300e+01 1.050e+02
 4.400e+01]",85,188,0,['ORG'],725,1,"['And we did a series of studies, some of\\n\\nthem at Columbia and New York Presbyterian\\n\\nHospital, with the doctors on trying out our\\n\\nInternet system, and']",[4719],['Columbia and New York Presbyterian\\n\\nHospital']
"[1.890e+02 1.000e+00 4.784e+03 2.000e+00 2.190e+02 3.170e+02 1.550e+02
 1.770e+02]",86,189,0,['PERSON'],725,1,"[""So did you invent a website that you\\'ve put out there into the world to try to help folks smoke \\xef\\xbf\\xbd quit smoking?\\n\\nA.  ""]",[4784],['\\xef\\xbf\\xbd']
"[1.900e+02 3.000e+00 4.811e+03 1.000e+00 3.000e+00 3.960e+02 1.150e+02
 2.700e+01]",87,190,0,['ORG'],725,1,['We ended up selling it to something called the American Legacy Foundation.\\n\\nQ.  '],[4811],['American Legacy Foundation.\\n\\nQ.']
"[1.910e+02 2.000e+00 4.846e+03 1.000e+00 2.700e+01 4.800e+01 6.600e+01
 1.050e+02]",88,191,1,['ORG'],725,1,['And has this become adopted and used by the Mayo Clinic now?\\n\\nA.  '],[4846],['Mayo Clinic']
"[1.930e+02 2.000e+00 4.865e+03 3.000e+00 1.580e+02 4.900e+01 1.560e+02
 2.200e+01]",89,192,1,['PERSON'],725,4,['And is it the Internet stop-smoking system that you created and invented and put out there?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[4865],['Janette Moreno']
"[1.930e+02 2.000e+00 4.865e+03 3.000e+00 1.580e+02 4.900e+01 1.560e+02
 2.200e+01]",89,193,2,['PHONE_NUMBER'],725,4,['And is it the Internet stop-smoking system that you created and invented and put out there?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[4865],['894-2796']
"[1.930e+02 2.000e+00 4.865e+03 3.000e+00 1.580e+02 4.900e+01 1.560e+02
 2.200e+01]",89,194,2,['PHONE_NUMBER'],725,4,['And is it the Internet stop-smoking system that you created and invented and put out there?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[4865],['894 2796']
"[1.930e+02 2.000e+00 4.865e+03 3.000e+00 1.580e+02 4.900e+01 1.560e+02
 2.200e+01]",89,195,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,['And is it the Internet stop-smoking system that you created and invented and put out there?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[4865],['101-102-894-2796']
"[1.960e+02 1.000e+00 4.936e+03 2.000e+00 1.680e+02 2.620e+02 3.800e+01
 1.030e+02]",90,196,1,['PERSON'],725,1,['MR.'],[4936],['MR']
"[1.970e+02 1.000e+00 4.941e+03 2.000e+00 1.680e+02 4.470e+02 1.870e+02
 1.030e+02]",91,197,1,['PERSON'],725,1,['You can pull that\\n\\nQ.   (BY MR.'],[4941],['MR']
"[1.980e+02 4.000e+00 4.961e+03 1.000e+00 1.130e+02 5.280e+02 6.100e+01
 2.930e+02]",92,198,0,['ORG'],725,1,"[""there?\\n\\nA.  Yeah, it\\'s out""]",[4961],"['there?\\n\\nA.  Yeah, it\\']"
"[1.990e+02 1.000e+00 5.026e+03 2.000e+00 2.190e+02 8.000e+00 1.410e+02
 1.770e+02]",93,199,0,['PERSON'],725,1,"["", we\\'ve gotten interested in trying \\xef\\xbf\\xbd because most people don\\'t want to go to doctors""]",[5026],['\\xef\\xbf\\xbd']
"[2.000e+02 2.000e+00 5.061e+03 2.000e+00 1.580e+02 3.770e+02 1.450e+02
 8.900e+01]",94,200,1,['PERSON'],725,1,"[""They have so many other things they have to do.\\n\\nEven though they care about this, it\\'s hard to develop expertise and addiction treatment.\\n\\nElectronically signed by Janette Moreno (""]",[5061],['Janette Moreno']
"[ 2.020e+02  0.000e+00  5.091e+03  3.000e+00 -1.000e+00  2.400e+01
  2.260e+02  2.100e+01]",95,201,1,['PHONE_NUMBER'],725,3,['101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=25\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5519\\n\\nIt takes time.\\n\\nSo'],[5091],['894-2796']
"[ 2.020e+02  0.000e+00  5.091e+03  3.000e+00 -1.000e+00  2.400e+01
  2.260e+02  2.100e+01]",95,202,1,['PHONE_NUMBER'],725,3,['101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=25\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5519\\n\\nIt takes time.\\n\\nSo'],[5091],['894 2796']
"[ 2.020e+02  0.000e+00  5.091e+03  3.000e+00 -1.000e+00  2.400e+01
  2.260e+02  2.100e+01]",95,203,2,['INTERNATIONAL_PHONE_NUMBER'],725,3,['101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=25\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5519\\n\\nIt takes time.\\n\\nSo'],[5091],['101-102-894-2796']
"[2.040e+02 1.000e+00 5.105e+03 2.000e+00 2.190e+02 5.370e+02 1.040e+02
 1.770e+02]",96,204,0,['PERSON'],725,1,['we developed \\xef\\xbf\\xbd and really it\\'],[5105],['\\xef\\xbf\\xbd']
"[2.050e+02 2.000e+00 5.173e+03 1.000e+00 2.900e+01 3.850e+02 1.560e+02
 1.060e+02]",97,205,1,['ORG'],725,1,['This is the Mental Workout'],[5173],['Mental Workout']
"[2.070e+02 3.000e+00 5.277e+03 2.000e+00 1.600e+02 6.100e+01 7.300e+01
 4.600e+01]",98,206,1,['PERSON'],725,5,['Are you \\xef\\xbf\\xbd are you familiar with the 1994 congressional testimony by the CEOs of the tobacco companies talking about what they swore\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=26\\n1\\n\\n2\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nPage 5520 before Congress was the absence of addictiveness\\n\\nof smoking?  '],[5277],['Janette Moreno']
